epoch,train_loss,val_loss,lr
1,0.7829955840473852,0.7123657763004303,0.00025
2,0.4808054824317167,0.24587179347872734,0.00025
3,0.3749478569415015,0.15636038593947887,0.00025
4,0.2981049161650203,0.40180596709251404,0.00025
5,0.271792937013401,0.4362187683582306,0.00025
6,0.23438622056492392,0.12107931915670633,0.00025
7,0.2149971459004177,0.15350445918738842,0.00025
8,0.19115592863618722,0.12101235426962376,0.00025
9,0.17809285873991584,0.18456247821450233,0.00025
10,0.15265441651876807,0.073766372166574,0.00025
11,0.14051685296471803,0.14772162027657032,0.00025
12,0.1224938094010813,0.02182728098705411,0.00025
13,0.10799627673107809,0.11912536062300205,0.00025
14,0.08010287547654231,0.22563712671399117,0.00025
15,0.07635877903628867,0.10873194318264723,0.00025
16,0.06458850730881852,0.053341359132900834,0.000125
17,0.014161017101033223,0.07565619703382254,0.000125
18,0.0058419476897009,-0.08288513869047165,0.000125
19,-0.009945176488620602,-0.04705185443162918,0.000125
20,-0.010093287521970888,-0.08160123601555824,0.000125
21,-0.022959607973092634,-0.10698661394417286,0.000125
22,-0.0336821772704249,-0.12518807407468557,0.000125
23,-0.0408230207272927,-0.07325052283704281,0.000125
24,-0.04385196124637106,-0.13138544000685215,0.000125
25,-0.061409418786629866,-0.12444032728672028,0.000125
26,-0.06361249591983845,-0.2185932965367101,0.000125
27,-0.08035907384036535,-0.19578987266868353,0.000125
28,-0.07835975560852501,-0.2529050251469016,0.000125
29,-0.08397328935038809,-0.24895199085585773,0.000125
30,-0.09669593282588781,-0.17995697050355375,0.000125
31,-0.10887251883521337,-0.2669461816549301,0.000125
32,-0.11365832958186074,-0.2200396009720862,0.000125
33,-0.11343805222145073,-0.28255912847816944,0.000125
34,-0.11831146080949849,-0.2859445121139288,0.000125
35,-0.1247793984694553,-0.16300898836925626,0.000125
36,-0.1333244378804962,-0.22501529147848487,0.000125
37,-0.14075679972361263,-0.25324357487261295,0.000125
38,-0.14182969828642703,-0.3306666873395443,0.000125
39,-0.1562984583339167,-0.1780724972486496,0.000125
40,-0.15491412774314584,-0.40161193907260895,0.000125
41,-0.16313507080108855,-0.29837685637176037,0.000125
42,-0.16709132446507985,-0.3585320934653282,0.000125
43,-0.1614053425861305,-0.3313526101410389,0.000125
44,-0.17126018396914974,-0.33310597762465477,6.25e-05
45,-0.20372948318313297,-0.22282330226153135,6.25e-05
46,-0.20315416990235674,-0.29425165615975857,6.25e-05
47,-0.2095515568312825,-0.29524180479347706,6.25e-05
48,-0.21059418005424405,-0.27876035310328007,3.125e-05
49,-0.2256574046604222,-0.3731475733220577,3.125e-05
50,-0.22455252452870492,-0.36957769095897675,3.125e-05
51,-0.2244806261524129,-0.33182733692228794,3.125e-05
52,-0.22871418358748638,-0.2884364314377308,1.5625e-05
