epoch,train_loss,val_loss
1,0.3229200839996338,0.23310962319374084
2,0.2537931501865387,0.20549733936786652
3,0.2238607406616211,0.185289666056633
4,0.20989878475666046,0.16970522701740265
5,0.20215848088264465,0.1659039855003357
6,0.19739355146884918,0.16255640983581543
7,0.19245050847530365,0.1617322862148285
8,0.1878376603126526,0.1619109958410263
9,0.18397484719753265,0.15614067018032074
10,0.17991012334823608,0.15493157505989075
11,0.1763785034418106,0.15982405841350555
12,0.17352016270160675,0.1559436023235321
13,0.1701677143573761,0.15328454971313477
14,0.1673985868692398,0.15877309441566467
15,0.16487573087215424,0.1549227088689804
16,0.1616077870130539,0.1586320549249649
17,0.1589006632566452,0.16253803670406342
18,0.15214453637599945,0.15686942636966705
19,0.14978212118148804,0.15896829962730408
20,0.1477365642786026,0.16028162837028503
21,0.1458328366279602,0.15868785977363586
22,0.1440693736076355,0.16192947328090668
23,0.14279896020889282,0.15893898904323578
