tic,time_idx,actual_scaled,p50_scaled,actual,p10,p50,p90
BNBUSDT,319,-0.5867403892538677,-0.23262342810630798,912.0448714954373,708.3588189704416,960.3063004506882,1339.9750741865519
BNBUSDT,320,-1.3165790239424933,-0.23147526383399963,812.577578817115,708.6098620461712,960.4627799603887,1339.6283384033377
BNBUSDT,321,-0.902400774351272,-0.23209917545318604,869.0245620474032,708.0171521387954,960.3777491101686,1340.4831715946784
BNBUSDT,322,-1.098303479939532,-0.23147282004356384,842.3256304931206,708.608562315,960.4631130165013,1339.62733111168
BNBUSDT,323,-1.0439349640139217,-0.2324030101299286,849.7353356375542,708.1356226350563,960.3363404873841,1340.3249943111355
BNBUSDT,324,-1.1697256691354085,0.012513846158981323,832.5917366447857,774.5111226678039,993.7152484657717,1337.206419338804
BNBUSDT,325,-0.7088773335001138,-0.001777052879333496,895.3992314830251,774.9128858194813,991.7675891206524,1331.2923175767585
BNBUSDT,320,-1.3165790239424933,-0.23142021894454956,833.3461456310396,735.2906340033371,972.8181791369806,1330.3855519165775
BNBUSDT,321,-0.902400774351272,-0.23210236430168152,886.5791677826022,734.7399759351554,972.7305051489268,1331.1945933365068
BNBUSDT,322,-1.098303479939532,-0.23147228360176086,861.4004118329032,735.2972222885156,972.8114874310463,1330.3873292214164
BNBUSDT,323,-1.0439349640139217,-0.23240283131599426,868.3882254505234,734.8509042716505,972.6918870726649,1331.044962654986
BNBUSDT,324,-1.1697256691354085,0.012513965368270874,852.2207434574401,797.4471210489301,1004.1702693297027,1328.103829578521
BNBUSDT,325,-0.7088773335001138,-0.0017769932746887207,911.4521243510455,797.8260240546655,1002.333497556297,1322.5264324918317
BNBUSDT,326,-0.01335236041792529,-0.6832737326622009,1000.8457521805885,791.2143887676867,914.7428742924285,1178.2008526990091
BNBUSDT,321,-0.902400774351272,-0.2320498824119568,895.0447124874336,748.2995050699255,978.3084013352887,1324.720651630286
BNBUSDT,322,-1.098303479939532,-0.23147547245025635,870.7118114371125,748.8457900994397,978.3797482864113,1323.944030776
BNBUSDT,323,-1.0439349640139217,-0.23240217566490173,877.4648765073376,748.413873410793,978.2646433032654,1324.5796012917174
BNBUSDT,324,-1.1697256691354085,0.012513935565948486,861.8405247579319,808.9069965383924,1008.6854559322404,1321.7368580205518
BNBUSDT,325,-0.7088773335001138,-0.0017769932746887207,919.0820871781439,809.2731114524643,1006.9103923548784,1316.3467983473288
BNBUSDT,326,-0.01335236041792529,-0.6832735538482666,1005.4726262838498,802.8836466089672,922.262309906114,1176.8696315476636
BNBUSDT,327,-0.022399122652889257,-0.682716965675354,1004.3489359824415,803.1530281762125,922.3314432286815,1176.4085156917213
BNBUSDT,322,-1.098303479939532,-0.23142051696777344,871.4827812505782,749.9885653853255,978.8226446782379,1323.3031633204828
BNBUSDT,323,-1.0439349640139217,-0.23240533471107483,878.2148423516679,749.5660514926263,978.7007018017686,1323.9393549350484
BNBUSDT,324,-1.1697256691354085,0.01251298189163208,862.6390868172391,809.8703446599675,1009.0271700541193,1321.1051581942236
BNBUSDT,325,-0.7088773335001138,-0.0017771720886230469,919.7026115615457,810.2352322866976,1007.2577233789391,1315.7317155441806
BNBUSDT,326,-0.01335236041792529,-0.6832736134529114,1005.8244513139796,803.865551946393,922.8729355043365,1176.6883922567188
BNBUSDT,327,-0.022399122652889257,-0.6827168464660645,1004.7042560116811,804.1341251813587,922.9418759436829,1176.2286810816831
BNBUSDT,328,-3.4133498633911734,-0.6814287900924683,584.8272888222511,804.2428386672353,923.1013666721141,1175.3068379560946
BNBUSDT,323,-1.0439349640139217,-0.23235231637954712,879.5941535343233,751.66290205841,979.5207150113849,1322.8059882251114
BNBUSDT,324,-1.1697256691354085,0.012506186962127686,864.1061035307849,811.6351133781951,1009.6690533952487,1319.99024577499
BNBUSDT,325,-0.7088773335001138,-0.0017780661582946777,920.848309240447,811.997417961431,1007.9102968450042,1314.6475301329942
BNBUSDT,326,-0.01335236041792529,-0.683273196220398,1006.48520547537,805.663545947018,924.0008327762894,1176.3871459754353
BNBUSDT,327,-0.022399122652889257,-0.6827167868614197,1005.3713178814502,805.9305921950893,924.0693409857471,1175.929935322065
BNBUSDT,328,-3.4133498633911734,-0.6814286708831787,587.8586361505745,806.0387082038446,924.2279409765977,1175.0132242926297
BNBUSDT,329,-2.859999372689939,-0.6793844103813171,655.9902207631743,807.0069379939004,924.4796416793047,1173.8709755778111
BNBUSDT,324,-1.1697256691354085,0.012597352266311646,868.3354966921315,816.710141253553,1011.5265533216159,1316.7705467077017
BNBUSDT,325,-0.7088773335001138,-0.001783907413482666,924.1488056872677,817.0803746709926,1009.7848399895256,1311.501202914603
BNBUSDT,326,-0.01335236041792529,-0.6832718253135681,1008.3837854728752,810.8497435735196,927.249886953891,1175.5049717485942
BNBUSDT,327,-0.022399122652889257,-0.6827163696289062,1007.2881327451084,811.1123459612052,927.3171581521658,1175.054783851909
BNBUSDT,328,-3.4133498633911734,-0.6814286708831787,596.6103308621744,811.2186631849621,927.4731112552379,1174.15300762797
BNBUSDT,329,-2.859999372689939,-0.6793843507766724,663.6265692468548,812.1710714707851,927.7206987172434,1173.0293714396812
BNBUSDT,330,-2.54938708927719,-0.6820034384727478,701.2448006936537,811.4623958535478,927.4035011935399,1174.2372067112062
BNBUSDT,325,-0.7088773335001138,-0.0016933083534240723,903.9854072535265,789.475082008541,995.5742517393866,1318.2257921780063
BNBUSDT,326,-0.01335236041792529,-0.683272123336792,994.0642641429238,782.8258897297045,907.301590210558,1172.7802035162497
BNBUSDT,327,-0.022399122652889257,-0.6827147006988525,992.8925995266779,783.1070346128356,907.3737831525415,1172.2989069436671
BNBUSDT,328,-3.4133498633911734,-0.6814281940460205,553.7236576260619,783.2206659329809,907.5404012513197,1171.3340288208685
BNBUSDT,329,-2.859999372689939,-0.679384171962738,625.3892075209384,784.239148395935,907.8051267174706,1170.1323158541802
BNBUSDT,330,-2.54938708927719,-0.6820034384727478,665.6172374385926,783.4812768954879,907.4659001731457,1171.4239457785486
BNBUSDT,331,-1.699814787798486,-0.6821427345275879,775.6470778093319,783.393119988147,907.4478596571688,1171.5406957843827
BNBUSDT,326,-0.01335236041792529,-0.6831899285316467,971.8029758180546,753.2995754933777,882.0711014048129,1156.671634658399
BNBUSDT,327,-0.022399122652889257,-0.6827154755592346,970.5910656903496,753.5993841383992,882.1346594322544,1156.1603119245678
BNBUSDT,328,-3.4133498633911734,-0.6814264059066772,516.3371084716375,753.7172060294702,882.3073440377161,1155.1625786485665
BNBUSDT,329,-2.859999372689939,-0.6793836355209351,590.4642985573375,754.7706084722206,882.580994881494,1153.919013142808
BNBUSDT,330,-2.54938708927719,-0.6820032596588135,632.0741211967137,753.9866729025975,882.2300683355078,1155.2548176351247
BNBUSDT,331,-1.699814787798486,-0.6821427345275879,745.8833768882565,753.8954878933788,882.2113841917625,1155.3755778872635
BNBUSDT,332,-1.1408694859114352,-0.6820040345191956,820.7600515036243,753.9867048413048,882.2299645347092,1155.254594064174
BNBUSDT,327,-0.022399122652889257,-0.6826345920562744,930.3831875315836,784.1277032768767,870.7719642571199,1055.4637393591577
BNBUSDT,328,-3.4133498633911734,-0.6814272403717041,624.221626866691,784.2127536664335,870.8809734124516,1054.7823890857453
BNBUSDT,329,-2.859999372689939,-0.6793819665908813,674.1824380906514,784.9228953587353,871.0656367297923,1053.9444780724577
BNBUSDT,330,-2.54938708927719,-0.6820026636123657,702.2269449921668,784.3945432234589,870.8290197006836,1054.8444063401905
BNBUSDT,331,-1.699814787798486,-0.6821426153182983,778.9329786698349,784.3330426000816,870.816383765814,1054.9256896282104
BNBUSDT,332,-1.1408694859114352,-0.6820039749145508,829.3989332164913,784.3945216971645,870.8289013060638,1054.8441264983621
BTCUSDT,319,1.2312678767769223,-0.6685689687728882,104740.3571405776,76489.44597475408,85720.51634340838,104923.62234482964
