tic,time_idx,horizon,actual_scaled,p50_scaled,actual,p10,p50,p90
ADAUSDT,2553,3,1.4061339,1.6058261,0.91902703,0.9232754,0.94334257,0.96178734
ADAUSDT,2554,4,1.0368928,1.1623819,0.87406635,0.8740515,0.88934654,0.9025624
ADAUSDT,2555,5,0.81438565,0.8523075,0.8469727,0.83747077,0.8515903,0.8659564
ADAUSDT,2556,6,0.9346981,0.9572064,0.8616226,0.8533516,0.8643633,0.8804951
ADAUSDT,2557,7,1.1881131,1.2932527,0.89247966,0.8896437,0.905282,0.9212143
ADAUSDT,2552,1,1.3356105,1.5041778,0.91359943,0.914612,0.9342096,0.9543133
ADAUSDT,2553,2,1.4061339,1.5956507,0.9222221,0.92214286,0.9453937,0.96278167
ADAUSDT,2554,3,1.0368928,1.1445198,0.87707627,0.87543267,0.8902354,0.9086106
ADAUSDT,2555,4,0.81438565,0.835906,0.84987104,0.8403838,0.8525023,0.8679173
ADAUSDT,2556,5,0.9346981,0.93922174,0.8645812,0.8496838,0.86513436,0.87841177
ADAUSDT,2557,6,1.1881131,1.2265103,0.89556545,0.8853517,0.90026015,0.9161274
ADAUSDT,2558,7,1.2499955,1.388734,0.9031316,0.9052409,0.92009467,0.93632317
ADAUSDT,2553,1,1.4061339,1.5991092,0.92554915,0.92775863,0.94921607,0.9674022
ADAUSDT,2554,2,1.0368928,1.1668607,0.8802646,0.87710863,0.8962041,0.9114982
ADAUSDT,2555,3,0.81438565,0.8581307,0.85297585,0.8443435,0.8583408,0.87184846
ADAUSDT,2556,4,0.9346981,0.9314122,0.8677312,0.85325724,0.8673282,0.8796473
ADAUSDT,2557,5,1.1881131,1.2016871,0.8988106,0.88356483,0.9004753,0.91576606
ADAUSDT,2558,6,1.2499955,1.3449476,0.90639997,0.9032899,0.9180451,0.9331977
ADAUSDT,2559,7,0.9454768,1.0337393,0.8690531,0.8667147,0.87987787,0.8924173
ADAUSDT,2554,1,1.0368928,1.2033901,0.8839568,0.8859398,0.9044479,0.91986513
ADAUSDT,2555,2,0.81438565,0.90044963,0.8565724,0.85176545,0.8671645,0.8801057
ADAUSDT,2556,3,0.9346981,0.9711311,0.8713795,0.8618304,0.8758634,0.8905817
ADAUSDT,2557,4,1.1881131,1.2192292,0.90256774,0.8887187,0.9063973,0.92335254
ADAUSDT,2558,5,1.2499955,1.3250725,0.9101837,0.9029721,0.9194236,0.9358901
ADAUSDT,2559,6,0.9454768,1.0094752,0.87270606,0.8664765,0.88058245,0.89746016
ADAUSDT,2560,7,0.95038456,0.95999193,0.8733101,0.85976326,0.87449247,0.88994306
ADAUSDT,2555,1,0.81438565,0.9312704,0.8603752,0.85997385,0.87483424,0.8906665
ADAUSDT,2556,2,0.9346981,0.99432784,0.87525827,0.8678888,0.88263464,0.89758635
ADAUSDT,2557,3,1.1881131,1.244992,0.90660644,0.8965521,0.9136425,0.9291371
ADAUSDT,2558,4,1.2499955,1.3367522,0.91426146,0.9074015,0.9249935,0.942016
ADAUSDT,2559,5,0.9454768,1.0113587,0.8765916,0.8718723,0.8847414,0.9000676
ADAUSDT,2560,6,0.95038456,0.9565109,0.8771987,0.8615381,0.87795657,0.8926109
ADAUSDT,2561,7,0.85691166,0.8403537,0.8656358,0.8501201,0.86358756,0.8782204
ADAUSDT,2556,1,0.9346981,0.930655,0.8780775,0.8627088,0.87757754,0.88903654
ADAUSDT,2557,2,1.1881131,1.1825261,0.90941405,0.894177,0.9087231,0.92424965
ADAUSDT,2558,3,1.2499955,1.3065994,0.9170662,0.9078519,0.9240657,0.94197184
ADAUSDT,2559,4,0.9454768,1.0058514,0.8794103,0.86979496,0.8868761,0.9016663
ADAUSDT,2560,5,0.95038456,0.93908036,0.8800172,0.86442643,0.8786194,0.8929087
ADAUSDT,2561,6,0.85691166,0.8287606,0.8684586,0.84798783,0.8649776,0.88023525
ADAUSDT,2562,7,0.3355845,0.4225101,0.8039929,0.80136555,0.8147419,0.82822216
ADAUSDT,2557,1,1.1881131,1.1421763,0.91147333,0.8900313,0.9058225,0.92183906
ADAUSDT,2558,2,1.2499955,1.3082852,0.9190857,0.90872574,0.92625606,0.9401716
ADAUSDT,2559,3,0.9454768,0.990224,0.8816259,0.8711741,0.8871304,0.90538174
ADAUSDT,2560,4,0.95038456,0.94989836,0.8822296,0.8692204,0.88216984,0.8990774
ADAUSDT,2561,5,0.85691166,0.85036945,0.87073123,0.8564103,0.86992645,0.88409436
ADAUSDT,2562,6,0.3355845,0.43820518,0.8066012,0.8051792,0.81922495,0.8340968
ADAUSDT,2563,7,0.14616144,0.24852948,0.78329974,0.7792565,0.79589236,0.80902845
ADAUSDT,2558,1,1.2499955,1.327081,0.9213736,0.9129001,0.9308078,0.946793
ADAUSDT,2559,2,0.9454768,1.045647,0.8841046,0.8817372,0.8963641,0.9114783
ADAUSDT,2560,3,0.95038456,1.0192153,0.8847053,0.8763209,0.8931292,0.9072143
ADAUSDT,2561,4,0.85691166,0.89602184,0.87326545,0.86501205,0.878052,0.89161766
ADAUSDT,2562,5,0.3355845,0.47895697,0.80946213,0.8137632,0.82700896,0.8400844
ADAUSDT,2563,6,0.14616144,0.2684331,0.7862793,0.78615785,0.80124366,0.815126
ADAUSDT,2564,7,0.18565303,0.3176608,0.79111254,0.79257697,0.8072685,0.8200612
ADAUSDT,2559,1,0.9454768,1.1187118,0.8872377,0.89344823,0.90837866,0.92653596
ADAUSDT,2560,2,0.95038456,1.0786237,0.8878367,0.88893247,0.90348643,0.91709626
ADAUSDT,2561,3,0.85691166,0.9574361,0.8764296,0.8735114,0.8886972,0.9012897
ADAUSDT,2562,4,0.3355845,0.5029861,0.81280893,0.8230887,0.83323795,0.8473334
ADAUSDT,2563,5,0.14616144,0.28754082,0.7896925,0.7945508,0.80694586,0.82200617
ADAUSDT,2564,6,0.18565303,0.3356894,0.7945119,0.8000751,0.81282175,0.8262884
ADAUSDT,2565,7,-0.2865549,-0.10257061,0.73688555,0.74526167,0.7593382,0.7759934
ADAUSDT,2560,1,0.95038456,1.0464636,0.8909953,0.8865743,0.90265,0.91691047
ADAUSDT,2561,2,0.85691166,0.9178085,0.8796568,0.8730223,0.8870438,0.9037561
ADAUSDT,2562,3,0.3355845,0.50728166,0.8164184,0.82253146,0.83724576,0.8515182
ADAUSDT,2563,4,0.14616144,0.2747252,0.7934409,0.7968498,0.809036,0.8231384
ADAUSDT,2564,5,0.18565303,0.30866498,0.79823136,0.79937536,0.813153,0.82783145
ADAUSDT,2565,6,-0.2865549,-0.113003284,0.74095124,0.7516798,0.76200354,0.77683556
ADAUSDT,2566,7,-0.049415603,0.15594685,0.76971686,0.7804133,0.7946279,0.80787385
ADAUSDT,2561,1,0.85691166,0.968788,0.8819198,0.8798,0.8953012,0.91087323
ADAUSDT,2562,2,0.3355845,0.5251007,0.81956446,0.82649267,0.8422323,0.85532993
ADAUSDT,2563,3,0.14616144,0.30760568,0.7969078,0.80083734,0.81621796,0.8287402
ADAUSDT,2564,4,0.18565303,0.32975608,0.80163133,0.80386025,0.8188673,0.8325347
ADAUSDT,2565,5,-0.2865549,-0.0885924,0.74515104,0.75297254,0.7688291,0.785927
ADAUSDT,2566,6,-0.049415603,0.15881866,0.773515,0.7847076,0.7984217,0.8101518
ADAUSDT,2567,7,-0.1821824,0.06978148,0.75763494,0.7755702,0.78777206,0.80260664
ADAUSDT,2562,1,0.3355845,0.5758612,0.8227531,0.8372611,0.8509814,0.86636657
ADAUSDT,2563,2,0.14616144,0.36399466,0.8004992,0.81361324,0.8260908,0.8388601
ADAUSDT,2564,3,0.18565303,0.3840629,0.80513877,0.81449604,0.8284485,0.84093416
ADAUSDT,2565,4,-0.2865549,-0.059846617,0.7496625,0.7611497,0.7762968,0.79264677
ADAUSDT,2566,5,-0.049415603,0.1629577,0.77752227,0.7902882,0.8024725,0.8156444
ADAUSDT,2567,6,-0.1821824,0.0805774,0.7619245,0.7793291,0.7927942,0.8061906
ADAUSDT,2568,7,0.0668202,0.31828678,0.791178,0.80862635,0.8207209,0.8329773
ADAUSDT,2563,1,0.14616144,0.30921555,0.8036313,0.80781054,0.8225418,0.8362378
ADAUSDT,2564,2,0.18565303,0.34202826,0.80821145,0.81347066,0.8263473,0.83940905
ADAUSDT,2565,3,-0.2865549,-0.1280248,0.7534463,0.7581228,0.7718321,0.7878802
ADAUSDT,2566,4,-0.049415603,0.15428069,0.78094894,0.7906055,0.80457294,0.81726354
ADAUSDT,2567,5,-0.1821824,0.046850614,0.7655511,0.779274,0.79211354,0.80636555
ADAUSDT,2568,6,0.0668202,0.27116194,0.7944296,0.80663574,0.81812847,0.8308165
ADAUSDT,2569,7,0.016120728,0.27855998,0.7885496,0.8072728,0.8189865,0.8317862
ADAUSDT,2564,1,0.18565303,0.29393744,0.8105053,0.8120086,0.82285863,0.834773
ADAUSDT,2565,2,-0.2865549,-0.16735932,0.75663465,0.7575018,0.7702328,0.78527683
ADAUSDT,2566,3,-0.049415603,0.1319463,0.78368807,0.791963,0.8043783,0.81896055
ADAUSDT,2567,4,-0.1821824,0.032541335,0.76854175,0.7813587,0.79303795,0.8063414
ADAUSDT,2568,5,0.0668202,0.25656855,0.79694855,0.80199635,0.81859547,0.8311655
ADAUSDT,2569,6,0.016120728,0.22065529,0.79116464,0.803386,0.8144984,0.82808805
ADAUSDT,2570,7,-0.0028914283,0.2059482,0.7889957,0.801672,0.8128206,0.8259873
ADAUSDT,2565,1,-0.2865549,-0.17598395,0.7599988,0.755948,0.77233917,0.7856637
ADAUSDT,2566,2,-0.049415603,0.1282328,0.7864649,0.79380363,0.8062916,0.8219636
ADAUSDT,2567,3,-0.1821824,0.029843885,0.7716474,0.7851486,0.7953108,0.807167
ADAUSDT,2568,4,0.0668202,0.2422424,0.7994376,0.80636966,0.81901574,0.8309439
ADAUSDT,2569,5,0.016120728,0.21554935,0.7937792,0.8043773,0.81603664,0.82613987
ADAUSDT,2570,6,-0.0028914283,0.17687961,0.7916573,0.80016947,0.81172085,0.8239149
ADAUSDT,2571,7,0.4544407,0.58256936,0.84269834,0.843858,0.8569983,0.86898047
ADAUSDT,2566,1,-0.049415603,0.029616354,0.7894792,0.7837366,0.79807067,0.81146914
ADAUSDT,2567,2,-0.1821824,-0.049505442,0.7750462,0.7765496,0.7894694,0.804294
ADAUSDT,2568,3,0.0668202,0.19804344,0.8021151,0.80464095,0.81638026,0.8307986
ADAUSDT,2569,4,0.016120728,0.17816125,0.7966036,0.8024742,0.8142189,0.8276087
ADAUSDT,2570,5,-0.0028914283,0.14646353,0.7945368,0.79809946,0.810773,0.8218465
ADAUSDT,2571,6,0.4544407,0.52795756,0.84425294,0.838814,0.8522449,0.86364025
ADAUSDT,2572,7,0.66397285,0.73589945,0.867031,0.8605289,0.87485003,0.88805556
ADAUSDT,2567,1,-0.1821824,-0.07509571,0.77785134,0.77542657,0.7891827,0.8016119
ADAUSDT,2568,2,0.0668202,0.17855012,0.80419946,0.8061964,0.8160221,0.82891244
ADAUSDT,2569,3,0.016120728,0.16556539,0.79883474,0.8018521,0.81464815,0.82789373
ADAUSDT,2570,4,-0.0028914283,0.12059018,0.79682297,0.7987137,0.80988914,0.823452
ADAUSDT,2571,5,0.4544407,0.505643,0.8452153,0.8374742,0.85063326,0.86439115
ADAUSDT,2572,6,0.66397285,0.7007823,0.8673869,0.85803306,0.87128186,0.88671196
ADAUSDT,2573,7,0.5922163,0.71268356,0.859794,0.8581011,0.8725412,0.8837766
ADAUSDT,2568,1,0.0668202,0.07936281,0.806521,0.7974618,0.80781156,0.8189777
ADAUSDT,2569,2,0.016120728,0.08134048,0.8013043,0.79588395,0.80801505,0.8227284
ADAUSDT,2570,3,-0.0028914283,0.066997044,0.79934806,0.79347813,0.8065392,0.81995463
ADAUSDT,2571,4,0.4544407,0.46870908,0.84640497,0.83621746,0.8478731,0.8593396
ADAUSDT,2572,5,0.66397285,0.6645385,0.8679646,0.8532521,0.86802286,0.88108873
ADAUSDT,2573,6,0.5922163,0.64847577,0.8605813,0.8527967,0.8663701,0.8792555
ADAUSDT,2574,7,0.2540072,0.36063093,0.82578146,0.8239361,0.8367525,0.8483023
ADAUSDT,2569,1,0.016120728,0.07667121,0.8035223,0.7958479,0.8095866,0.8204399
ADAUSDT,2570,2,-0.0028914283,0.057522647,0.8016182,0.796149,0.8076688,0.8201543
ADAUSDT,2571,3,0.4544407,0.48830092,0.8474212,0.83751196,0.85081244,0.8608357
ADAUSDT,2572,4,0.66397285,0.6443421,0.8684064,0.856401,0.86644036,0.88094896
ADAUSDT,2573,5,0.5922163,0.65249515,0.8612198,0.8526601,0.86725694,0.8820322
ADAUSDT,2574,6,0.2540072,0.32449567,0.8273473,0.8232122,0.8344069,0.846453
ADAUSDT,2575,7,0.19833201,0.3486598,0.82177126,0.82601994,0.836827,0.8485645
ADAUSDT,2570,1,-0.0028914283,0.028793296,0.80425364,0.79500425,0.80733067,0.8182311
ADAUSDT,2571,2,0.4544407,0.45881757,0.8486672,0.8365516,0.84909225,0.8632611
ADAUSDT,2572,3,0.66397285,0.67165613,0.8690158,0.855199,0.86976194,0.8837942
ADAUSDT,2573,4,0.5922163,0.675163,0.8620472,0.8559157,0.8701025,0.884997
ADAUSDT,2574,5,0.2540072,0.342766,0.8292022,0.8237609,0.83782196,0.84895885
ADAUSDT,2575,6,0.19833201,0.3444396,0.8237953,0.8259532,0.8379845,0.850843
ADAUSDT,2576,7,0.65444547,0.7310127,0.8680905,0.860491,0.8755263,0.8906255
ADAUSDT,2571,1,0.4544407,0.37429333,0.84972966,0.8314304,0.8422764,0.85606194
ADAUSDT,2572,2,0.66397285,0.61998475,0.8692152,0.8522663,0.86512446,0.8769529
ADAUSDT,2573,3,0.5922163,0.68440396,0.86254215,0.85826874,0.87111515,0.8859923
ADAUSDT,2574,4,0.2540072,0.35200658,0.83109033,0.82902884,0.8402038,0.84953433
ADAUSDT,2575,5,0.19833201,0.3454984,0.82591283,0.83013576,0.8395986,0.8510236
